id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,
0,46.3105,-2.29977,0,0,0,0.643413,0.765519,
1,47.1141,35.281,0,0,0,0.72544,0.688286,
2,43.3608,69.747,0,0,0,0.707107,0.707107,
3,43.8168,95.5267,2.28882e-05,0,0,0.900946,0.433932,
4,25.109,94.7361,0,0,0,0.998727,0.050437,
5,9.35278,95.5424,0,0,0,0.999933,0.0116048,
6,-7.43489,96.5434,0,0,0,0.998211,0.059784,
7,-42.1063,100.118,0,0,0,-0.99986,0.0167286,
8,-60.5493,78.0407,0,0,0,-0.675692,0.737184,
9,-44.828,29.0211,0,0,0,-0.145213,0.9894,
10,-10.276,15.975,0,0,0,-0.228664,0.973505,
11,16.7785,20.383,0,0,0,0.231063,0.972939,
12,74.8545,27.1471,0,0,0,0.0486074,0.998818,
13,141.471,33.2095,0,0,0,0.0302006,0.999544,
14,273.629,28.7354,0,0,0,-0.06033,0.998178,
15,281.384,24.1642,0,0,0,-0.656017,0.754746,
16,280.811,-10.8543,0,0,0,-0.707107,0.707107,
17,280.048,-52.2444,0,0,0,-0.707107,0.707107,
18,276.57,-61.4357,0,0,0,-0.7071,0.707114,
19,276.857,-71.3409,0,0,0,-0.676456,0.736483,
